service_name,jurisdiction_level,responsible_body,description,keywords,next_steps_hint,source_url
garbage pickup,Region,Region of Waterloo Waste Management,"Residential garbage collection schedule, missed pickup, and waste cart information.",garbage;waste;pickup;missed collection;curbside,Check the regional waste collection schedule; report a missed pickup if applicable,https://www.regionofwaterloo.ca/
recycling collection,Region,Region of Waterloo Waste Management,Blue box recycling collection and schedule information.,recycling;blue box;collection,Check the regional collection calendar and recycling guidance,https://www.regionofwaterloo.ca/
property tax billing,City,City of Kitchener Revenue Division,"Property tax billing, payment options, and account inquiries for properties in Kitchener.",property tax;tax bill;billing;assessment,Visit the city's property tax page or contact the revenue division,https://www.kitchener.ca/
water billing,City,City of Kitchener Utilities,Water billing and account inquiries for city utility customers.,water bill;utilities;billing,Check your city utility account and payment options,https://www.kitchener.ca/
snow removal on regional roads,Region,Region of Waterloo Transportation Services,Maintenance and snow clearing for regional roads.,snow removal;plowing;regional roads;winter maintenance,Confirm whether the road is regional before contacting the Region,https://www.regionofwaterloo.ca/
snow removal on city streets,City,City of Kitchener Operations,Maintenance and snow clearing for local city streets and sidewalks where applicable.,snow removal;city streets;plowing;roads,Check the city operations page for winter maintenance details,https://www.kitchener.ca/
child care subsidies,Province,Government of Ontario,"Provincial child care funding and policy frameworks, often administered locally.",childcare;daycare;subsidy;ontario,Review Ontario child care support information and local intake guidance,https://www.ontario.ca/
public health inspections,Region,Region of Waterloo Public Health,Food premise inspections and public health reporting.,public health;inspection;restaurant inspection;food safety,Search the Region's public health resources or inspection tools,https://www.regionofwaterloo.ca/
employment insurance,Federal,Government of Canada,"Employment Insurance benefits, eligibility, and application process.",employment insurance;EI;benefits,Use the federal service portal and application guidance,https://www.canada.ca/
passport services,Federal,Government of Canada,"Passport issuance, renewal, and service standards.",passport;travel document;renewal,Use Service Canada passport guidance,https://www.canada.ca/
public transit,Mixed,Grand River Transit / Regional municipality context,Transit service information in Waterloo Region; depending on framing may be regional transit governance or local operational questions.,bus;transit;GRT;routes;fares,"Clarify whether the request is about routes, fares, governance, or accessibility",https://www.grt.ca/
road pothole on local street,City,City of Kitchener Transportation Services,Reporting potholes or road defects on local city streets.,pothole;road repair;local street,Report the issue through the city's service channels,https://www.kitchener.ca/
road pothole on regional road,Region,Region of Waterloo Transportation Services,Reporting potholes or road defects on regional roads.,pothole;regional road;road repair,Confirm road ownership and report through regional channels,https://www.regionofwaterloo.ca/
income tax filing,Federal,Canada Revenue Agency,Personal income tax filing and account support.,income tax;CRA;tax return,Use CRA account and filing guidance,https://www.canada.ca/
drivers licence renewal,Province,Government of Ontario / ServiceOntario,Driver licensing and renewal services in Ontario.,drivers licence;license renewal;serviceontario,Use ServiceOntario licensing guidance,https://www.ontario.ca/
